Name,Issue Type,Priority,Rank,Status,Target Sprint,Build Number,Opened Date,Opened Time,Days old,Attachments,Assigned to,Progress Comments,Description,Duplicates?,Bug source,Associated features,Created by,Notification status,If complete,Closed,Notified users?,Status Time Changed,Date Completed,Minutes To Completion
CHATS: Changes to the Chat screen UI,UI Fix,Critical,6,Complete,,,2020-05-14,5/14/2020 12:54pm,86,"Screen Shot 2020-05-15 at 11.20.20 AM.png (https://dl.airtable.com/.attachments/dbfab3f1cb51bd1e2d12d59bd6cdd176/f0c6c332/ScreenShot2020-05-15at11.20.20AM.png),Screen Shot 2020-05-15 at 12.01.49 PM.png (https://dl.airtable.com/.attachments/3d10c3b177416cb64dcabbe80d22f39d/fc45b8ed/ScreenShot2020-05-15at12.01.49PM.png),Screen Shot 2020-05-15 at 11.23.57 AM.png (https://dl.airtable.com/.attachments/ce1f4b56116cdce681f792f764edce7f/008667a7/ScreenShot2020-05-15at11.23.57AM.png)",,,"Chat screen changes:
1. Increase Conversation Title Label font-size to 18px
2. Remove all of the box shadow around the statement text card
3. Remove all of the box shadow around the attribute text cards

Drawer changes:
1. Change the background color of the drawer to white
2. Change the font-size of the hyperlink text to 16px (from 17px)
3. Remove the checkmark ionicon attached to each hyperlink
4. Align the start of the hyperlink text to the start of the statement card. 
    a. In my mock up I added padding-left: 18px to get the text aligned to the statement card. ",,,,,⚠️ Need to notify,1,1,,5/22/2020 2:19pm,2020-05-22,11604
Order Topics alphabetically in the Topics List of Learn,New Feature,Critical,10,Complete,,,2020-05-18,5/18/2020 11:18am,82,Screen Shot 2020-05-18 at 11.18.01 AM.png (https://dl.airtable.com/.attachments/8d1b5fea8f465b3fd219ace7fb5abdbd/a296816f/ScreenShot2020-05-18at11.18.01AM.png),,,,,,,,⚠️ Need to notify,1,1,,5/22/2020 2:17pm,2020-05-22,5938
ESSENTIALS: UI Fixes to Shop page in essentials. See pic and description,UI Fix,Critical,5,Complete,,,2020-05-19,5/18/2020 10:33pm,81,Screen Shot 2020-05-18 at 9.16.40 PM.png (https://dl.airtable.com/.attachments/4e219a25c56fcd994a1820202b5236ef/55eff469/ScreenShot2020-05-18at9.16.40PM.png),,,"Keep one of the mug gifs. 
Coming Soon: font-size 18px, font-weight bold
Add a 5 item list using the Topics/Series list UI
Disable all of the list items so they aren't clickable",,,,,⚠️ Need to notify,1,1,,5/22/2020 2:19pm,2020-05-22,5265
CAREER SECTION: Disable Share in the Edit Entry ... menu (after the entry has been saved) since we won't have Feedback in Beta 1,New Feature,Critical,4,Complete,,,2020-05-19,5/18/2020 11:24pm,81,,,,"Since we are not going to have sharing to an ally in Beta 1, I  propose we disable the Share option in the ... menu of the Edit Entry screen (after an entry has been saved). So the option is still there in the menu, but when a user clicks on it, the button is disabled. ",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/22/2020 2:22pm,2020-05-22,5217
CAREER SECTION: Change the Accolade label in the Collection Edit Entry List when a Shoutout is available to add. See pic and description,Nit,Critical,4,Complete,,,2020-05-19,5/18/2020 11:51pm,81,Screen Shot 2020-05-18 at 11.35.14 PM.png (https://dl.airtable.com/.attachments/1eb4807b116fa1943b8aca7a00dbe310/cc99f368/ScreenShot2020-05-18at11.35.14PM.png),,,The label for Shoutouts displays as Accolades in the Collection Edit Entry. I propose changing the label to Accolade.,,,,,⚠️ Need to notify,1,1,,5/22/2020 2:25pm,2020-05-22,5194
"Allow styling (bold, italic, underline, strikethrough) for options associated with attributes in a Chat.",New Feature,Critical,20,Complete,,,2020-05-19,5/19/2020 12:38pm,81,,,,,,,,,⚠️ Need to notify,1,1,,5/22/2020 2:16pm,2020-05-22,4417
UI SCRUB: Reorder the Entry Type options in the + menu/mat. ,UI Fix,Critical,7,Complete,,,2020-05-20,5/20/2020 11:19am,80,,,,"New proposed ordering (note Objective is swapped for Goal):
Satisfaction 
Accomplishment 
Shoutout 
Market Info 
Pitch 
Ask 
Objective (Objective will replace Goal)",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/22/2020 2:17pm,2020-05-22,3058
UI SCRUB: Changing font-size of Placeholder text across all attributes associated with Chats. ,UI Fix,Critical,7,Complete,,,2020-05-20,5/20/2020 3:09pm,80,"Screen Shot 2020-05-20 at 3.12.20 PM.png (https://dl.airtable.com/.attachments/1f2e4e9d0d4e8d780fd79941f9ab5640/7c96d0ef/ScreenShot2020-05-20at3.12.20PM.png),Screen Shot 2020-05-20 at 11.09.28 AM.png (https://dl.airtable.com/.attachments/a4d34ff242592629c5c2fa99e28cc8d3/bbca6258/ScreenShot2020-05-20at11.09.28AM.png),Screen Shot 2020-05-20 at 11.09.28 AM.png (https://dl.airtable.com/.attachments/f021e4f92ef0aa539a1d304667f33b3f/9ab040cf/ScreenShot2020-05-20at11.09.28AM.png),Screen Shot 2020-05-20 at 3.16.59 PM.png (https://dl.airtable.com/.attachments/ed17da5744c2b971dceaa4d6541c54aa/1b5e7bb2/ScreenShot2020-05-20at3.16.59PM.png)",,,"The Placeholder text font-size is currently 25.6px for attributes associated with a Chat. I propose changing the Placeholder text font-size to either 18px or 20px. 

The Add : Practice Ask picture is attached to show the font-size of Placeholder text for an attribute in the Career Section. ",,,,,⚠️ Need to notify,1,1,,5/22/2020 2:18pm,2020-05-22,2828
@hasConversationCompleted function should reject going back to the first statement unless it satisfies the enableif.,Functional Bug,Critical,20,Complete,,,2020-05-21,5/20/2020 10:37pm,79,,,,"Statement 1 fails, statement 2 fails, and statement 3 succeeds, it takes you back to statement 1 if you swipe backwards",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/22/2020 2:15pm,2020-05-22,2378
UI SCRUB: Adjust size of Add Entry button across the different Entry landing page screens. See description for specs and mock up in attachments. ,UI Fix,Critical,5,Complete,,,2020-03-26,3/26/2020 3:36pm,135,"Screen Shot 2020-04-29 at 3_44_04 PM.png (https://dl.airtable.com/.attachments/49d438d4cf6242c14fedd83423e04b3b/7e352887/ScreenShot2020-04-29at3_44_04PM.png),IMG_5862.HEIC (https://dl.airtable.com/.attachments/2e546ae7a7d065b4b0f34016d07f8549/7c077d43/IMG_5862.HEIC)",,,"We propose: 
Height of the Add Entry button 60 px. 
Width of the Add Entry button is 50% of the width of the cards in the section list. 
A black outline around the button. 
Font size for ""Add Entry"" to 22px

OLD: 
After we change the entry cards to be the same size as the card used in the Challenges section, we propose making the entry button half the height and half the width of the card. We also propose giving the button a black outline so it appears more button like. 

OLD We propose making the button slightly more narrow and adding a little height too make the button height the same as the entry cards. ",,,,,⚠️ Need to notify,1,1,,5/26/2020 2:49pm,2020-05-26,87792
HOMEPAGE: Round Inspiration pad corners; Remove all shadowing for all cards on the homepage,UI Fix,Critical,3,Complete,,,2020-03-27,3/26/2020 9:52pm,134,,Adam Galper,,"Remove the shadowing behind the Inspiration Pad and Stats cards. 

Round the corners of the Inspiration pad.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/26/2020 1:29pm,2020-05-26,87336
HOMEPAGE: Increase the height of the Newsflash bar to 60px. Change font sizes. Bring lightning bolt icon into alignment with Hamburger menu. See attachment and description,UI Fix,Critical,3,Complete,,,2020-04-01,3/31/2020 5:18pm,129,IMG_5865.jpeg (https://dl.airtable.com/.attachments/f2e45661a0f43228057abdfa210cb0dd/ba02800a/IMG_5865.jpeg),Adam Galper,"18px was too big for existing title messages, reduced to 16px.","Height of Newsflash bar 60 px
Newsflash TITLE font 18pt, bold, color: black
Newsflash SUBTITLE font 14pt, normal, color: black",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/26/2020 1:34pm,2020-05-26,80416
HOMEPAGE: Change width of chea seed logo in black title pad to 230px width.,UI Fix,Critical,3,Complete,,,2020-04-01,3/31/2020 5:23pm,129,Screen Shot 2020-04-29 at 7_13_29 PM.png (https://dl.airtable.com/.attachments/a781eabf77180651736a0278befbd0d0/883a050b/ScreenShot2020-04-29at7_13_29PM.png),,Seems kinda big,"Change width of logo to 230px
--------------------------------------
4.14.2020: Since the chea seed in the black title bar on the homepage is a logo, we discussed trying to make the logo larger since it isn't a font. We want it to take up as much space as possible. 
---------------------------------------
We aren't sure how many pts to increase the chea seed by. maybe 2 pts? We want it to be a bit larger so we hit the chunkier look, but still want it to fit in the current size of the black nav bar.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/26/2020 1:35pm,2020-05-26,80411
UI SCRUB: Pink submit button changes for across all Edit Entry screens. See description.,UI Fix,Critical,5,Complete,,,2020-04-01,3/31/2020 5:37pm,129,,,,"Pink Submit changes:
	Change font-size to 22px
	Height of button 45px 
	Width of button is same width as Blocks
	Add rounded corners
	Change text to ""Save""
-----------------------------------
OLD
We'd like the Submit button height to match the height of the top black nav bar. 
We'd also like the Submit button to have rounded corners so it looks more like a button. 
",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/26/2020 2:50pm,2020-05-26,80472
UI SCRUB: Change the height of Entry cards across section lists to 120px. ,UI Fix,Critical,5,Complete,,,2020-04-17,4/17/2020 2:58pm,113,,,,Proposed height for all Entry cards across section lists and Favorites is 120px,,,,,⚠️ Need to notify,1,1,,5/26/2020 2:55pm,2020-05-26,56156
HOMEPAGE: Remove the black vertical band on the Take the Credit card in UpNext. Remove the UpNext rules associated with the vertical band if it is in place.,New Feature,Critical,3,Complete,,,2020-04-17,4/17/2020 3:03pm,113,,,,We propose removing the black vertical band and doing away with the rule associated with the black vertical band because this makes things simpler for now. ,,,,,⚠️ Need to notify,1,1,,5/26/2020 1:42pm,2020-05-26,56078
"UI SCRUB: Across Edit Entry screens, change the font-size of the feelings labels to 16px. See attachment",UI Fix,Critical,5,Complete,,,2020-05-14,5/14/2020 12:54pm,86,Screen Shot 2020-05-15 at 11.42.58 AM.png (https://dl.airtable.com/.attachments/fee512189641df387ae448dd7773b5db/0eaa7685/ScreenShot2020-05-15at11.42.58AM.png),,,Feelings labels font-size change to 16px (from 14px),,,,,⚠️ Need to notify,1,1,,5/26/2020 2:57pm,2020-05-26,17402
"Options text font-color has defaulted to grey now that I have styling control of options. Can we have the default font-color for options be black, and I still maintain control of other styling aspects?",,Critical,9,Complete,,,2020-05-22,5/22/2020 2:17pm,78,Screen Shot 2020-05-20 at 10.46.39 PM.png (https://dl.airtable.com/.attachments/69cef15cc5858c23a003ec356547eb9d/023c2eaa/ScreenShot2020-05-20at10.46.39PM.png),,,,,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/26/2020 2:57pm,2020-05-26,5799
CAREER SECTION: Add +Motivation and +Objective buttons to the Goal Entry View pages.,New Feature,Critical,7,Complete,,,2020-05-23,5/22/2020 7:37pm,77,,,,"We propose adding Motivation and Objective buttons to the top of the Goal Entry View. 
- NJ proposes the buttons say ""Add Motivation"" and ""Add Objective"" unless that is too much text. ",,,,,⚠️ Need to notify,1,1,,5/26/2020 3:06pm,2020-05-26,5488
HOMEPAGE: Visible share icon on the Inspiration Tile,New Feature,Critical,3,Complete,,,2020-03-09,3/9/2020 3:16pm,152,IMG_5592.PNG (https://dl.airtable.com/.attachments/4f39bcbda2d91d93b15d412649770f9d/d0d3829d/IMG_5592.PNG),Adam Galper,"we moved the icon to the upper left hand corner.
------------------
we propose moving to the icon to bottom right corner. If it is easy enough, then we'd also like to make the icon bigger and the color to be black. 

can the slider be bigger and the card be smaller so we have more space on the slider?

Rank #1","3/16/2020 We don't have a mock up from Vamsi for this. We discussed pulling the sharing functionality out of the three dots in the top right corner because we want to make it very clear to our user that the Inspiration tile is shareable so she is encouraged to share. One idea was to take the Instagram approach. We didn't land on a final idea to implement because the Instagram approach would take up more space, but we leaned that way. ",,,,,⚠️ Need to notify,1,1,,5/26/2020 10:52pm,2020-05-27,112776
HOMEPAGE: Font size changes for the Title Bar,UI Fix,Critical,3,Complete,,,2020-04-01,3/31/2020 5:39pm,129,,,"5.26.2020 We decided to make all text in the Title Bar font-size 22px
-----------------------------
We are happy to go with 22 across the board, but we'd like 22px nunito sans black

Nicole noted the font sizes in pts instead of px. 
---------------------------
Generally not a great idea. Will cause many titles to runover with an ellipsis. I have used 26, 24, 18 for now to show you.

This also violates Apple and Android guidelines: https://learnui.design/blog/ios-font-size-guidelines.html
","We propose using different font-sizes in the Title Bar depending on where the user is in the app. 

Heading of Section (Career, Essentials, Feedback)
	font-size 26pt  26px

Heading of Section List (Accomplishment, Shoutout, Satisfaction, etc) 
	font-size 24pt, 24px

Heading of Entry List/Entry View/Entry Form
	font-size 22pt, 22px",,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/26/2020 10:55pm,2020-05-27,80955
"UI SCRUB: Font size, weight, and color changes for entry cards across Section Lists and in Favorites. ",UI Fix,Critical,5,Complete,,,2020-04-17,4/17/2020 2:57pm,113,,,"Description font-size 16px, normal, black (from chea seed blue)","Card Name font-size 24px, bold, black
Description font-size 16px, normal, black

When a Name or Description are too long to fit the allotted space on the card, use ...",,,,,⚠️ Need to notify,1,1,,5/26/2020 11:01pm,2020-05-27,56644
ESSENTIALS: Change the background color of the Topics and Series lists to white. Change the lines and carrots to the color of the current grey background.,UI Fix,Critical,4,Complete,,,2020-04-30,4/29/2020 7:28pm,100,,,"We would like the background color of the Topics and Series pages to be white. 
Thin the lines between each list item
Add a line/top border to the first list item",,,,,,⚠️ Need to notify,1,1,,5/26/2020 10:56pm,2020-05-27,39088
ESSENTIALS: Reflect: Only allow Chats to be pinned for now. Pinned chats will display on cards. see description,New Feature,Critical,4,Complete,,,2020-05-16,5/15/2020 5:37pm,84,,,"This was too hard to achieve without a significant rewrite of how Essentials works (several hours of work). Instead, Giselle and I discussed using tile blocks as we do in Learn, labeling them Chats and Statements. We can review.","'- In the Reflection section, pinned chats will display on cards in list form.
- Remove the ""Pinned"" section header on the first Reflect  page.
- Disable pinning of Statements

The cards will have the name of the chat on them. 
Add a thick grey border (4-6px) (#BCC2CA) to the cards to identify them as chats. ",,,,,⚠️ Need to notify,1,1,,5/26/2020 10:59pm,2020-05-27,16161
"UI SCRUB: Change font-size of breadcrumb attached to back arrow. See pic, text is circled in red.",UI Fix,Critical,5,Complete,,,2020-05-19,5/18/2020 10:10pm,81,Screen Shot 2020-05-18 at 10.13.39 PM.png (https://dl.airtable.com/.attachments/4a2d4f2a992962c3ec95103d4ab8ab74/780d12d6/ScreenShot2020-05-18at10.13.39PM.png),,,"Increase font-size to 18px
",,,,,⚠️ Need to notify,1,1,,5/26/2020 10:36pm,2020-05-27,11545
HOMEPAGE: UpNext slider appears to be darker than the background color of the app. ,UI Fix,Critical,3,Complete,,,2020-05-26,5/26/2020 1:23pm,74,,,,rank #2,,,,,⚠️ Need to notify,1,1,,5/26/2020 10:55pm,2020-05-27,571
CAREER SECTION: Add about 20% more space between entry cards on all entry section lists in the career section,UI Fix,High,3,Complete,,,2020-03-26,3/26/2020 3:01pm,135,,,,,,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/27/2020 5:36pm,2020-05-28,89434
"COLLECTIONS: Collection View: Order the Entries in the Collection Entry View in reverse chronological order, so the most recent appears at the top of the list. ",New Feature,High,1,Complete,,,2020-05-13,5/13/2020 3:09pm,87,,,,"Same ordering as the Edit Collection. 

Order in Reverse Chronological by the Date field in the Accomplishment or Shoutout entry. If no date is entered in the Date Occurred attribute, order by the date created. ",,,,,⚠️ Need to notify,1,1,,5/27/2020 5:34pm,2020-05-28,20305
"CAREER SECTION: Slider actions for cards in the Goal, Objectives, Motivations entry lists.",New Feature,High,40,Complete,,,2020-05-15,5/15/2020 2:24pm,85,,,"Issues: We don't have an Achieved field on Objective and Goal, so Mark as Achieved doesn't do anything.

Also, the slider options don't textwrap nicely.","The swipe right actions for Goal are: 
1. Mark as Achieved, left
2. Add to Collection, right (but only if we can disable Add to Collection for these entry types for now. If not, we will add to the slider later)

The swipe right actions for Objective, and Motivation are: 
1. View Goal, left
2. Mark as Achieved, middle
3. Add to Collection, right (but only if we can disable Add to Collection for these entry types for now. If not, we will add to the slider later)",,,,,⚠️ Need to notify,1,1,,5/27/2020 5:04pm,2020-05-28,17440
"@countResponses function for Gender Balance Your Networking chat, statements 18, 19, 20, 24",Functional Bug,High,40,Complete,,,2020-05-19,5/19/2020 12:09pm,81,,,,"The logic executes correctly the first time the chat is consumed, but doesn't execute correctly when the chat is consumed again. 

I think the function is only testing for greater than 1, and not greater than and equal to 1. ",,,,,⚠️ Need to notify,1,1,,5/28/2020 12:09pm,2020-05-28,12959
AdvancementMindset.lede uses ${Onboarding.getAdvanced} - it returns the Name of the Option rather than the description. Can we change this so the Description is returned?,Functional Bug,Critical,9,Complete,,,2020-05-22,5/22/2020 2:17pm,78,Screen Shot 2020-05-21 at 11.15.42 AM.png (https://dl.airtable.com/.attachments/0bca43d6f52c79b604bebb5f3c6aac72/f08fa8d7/ScreenShot2020-05-21at11.15.42AM.png),,"Use {{ optionDescription ""Onboarding.getAdvanced"" }}

It will display the description of the option  for the current value of Onboarding.getAdvanced.

Add this to cookbook.",,,,,Nicole Johnson,⚠️ Need to notify,1,1,,5/28/2020 11:48am,2020-05-28,8491
CHAT: LinkedIn URL placeholder,New Feature,Critical,42,Complete,,20,2019-11-15,11/14/2019 8:22pm,267,Screen Shot 2020-05-29 at 11.38.18 AM.png (https://dl.airtable.com/.attachments/70b266c0bf51297a7d7f6323bb5ec2b2/fddd46be/ScreenShot2020-05-29at11.38.18AM.png),Nicole Johnson,,"For the attribute Onboarding.linkedIn which is associated with the My Job Quiz chat, it would be nice to have https://www.linkedin.com/in/ prefilled for her so she only has to add her unique LinkedIn url",,Discussed in a slack message on #instructionedits channel on 11/5,,Nicole Johnson,⚠️ Need to notify,1,1,,6/3/2020 6:21pm,2020-06-04,290699
HOMEPAGE: Inspiration/Takeaway Tile font changes. See description ,UI Fix,Critical,3,Complete,,,2020-04-17,4/17/2020 3:14pm,113,,,,"Increase font-size to 26px
Change font-color to black
Keep font-weight as bold

From a different HOMEPAGE issue: 
	Increase height of Inspiration/Takeaway Tile (slider) to 180px	",,,,,⚠️ Need to notify,1,1,,6/3/2020 5:25pm,2020-06-04,67811
CAREER SECTION: Define box-shadow: none for the slider in the Recents section,UI Fix,Critical,41,Complete,,,2020-05-27,5/26/2020 10:18pm,73,Screen Shot 2020-05-26 at 11.43.11 PM.png (https://dl.airtable.com/.attachments/8c8a7291123e3b84f50b86379f7d13e0/ece3bde1/ScreenShot2020-05-26at11.43.11PM.png),,,,,,,,⚠️ Need to notify,1,1,,6/3/2020 6:12pm,2020-06-04,11274
"HOMEPAGE: Adjust the size of the text in the title bar for Career Plan, Favorites, and Takeaways to 22px. ",UI Fix,Critical,40,Complete,,,2020-05-28,5/28/2020 11:58am,72,Screen Shot 2020-05-29 at 11.19.02 AM.png (https://dl.airtable.com/.attachments/260a8f06ee792e71a303d0e140c2ff6e/d289f0d6/ScreenShot2020-05-29at11.19.02AM.png),,,,,,,,⚠️ Need to notify,1,1,,6/3/2020 5:45pm,2020-06-04,8987
"CAREER SECTION: Change font-size of the Block titles (Basics, Feelings, Details) to 24px.",UI Fix,Critical,41,Complete,,,2020-05-28,5/28/2020 12:00pm,72,Screen Shot 2020-05-29 at 10.45.34 AM.png (https://dl.airtable.com/.attachments/0e63f79e9abf31f9fbe9b673a5dfd5ce/46d55f22/ScreenShot2020-05-29at10.45.34AM.png),,,,,,,,⚠️ Need to notify,1,1,,6/3/2020 6:13pm,2020-06-04,9012
"CAREER SECTION: Remove the ACTIONS header in the Accomplishment, Shoutout, Pitch, Ask Entry Views",UI Fix,Critical,41,Complete,,,2020-05-29,5/29/2020 10:55am,71,Screen Shot 2020-05-29 at 11.30.33 AM.png (https://dl.airtable.com/.attachments/9e0dca0cf2ef8ebdbefada934dc1db08/66c3bbb9/ScreenShot2020-05-29at11.30.33AM.png),,,,,,,,⚠️ Need to notify,1,1,,6/3/2020 6:20pm,2020-06-04,7644
"CHAT: change the message when a chat is pinned to say ""Chat successfully pinned"" ",New Feature,Critical,42,Complete,,,2020-05-29,5/29/2020 10:55am,71,Screen Shot 2020-05-29 at 12.20.27 PM.png (https://dl.airtable.com/.attachments/b1427fc92c6c4c3cc3660dd915e96d6f/cdea5580/ScreenShot2020-05-29at12.20.27PM.png),,,"When a chat is pinned, the chat name displays in camelCase. We propose changing the message to say ""Chat successfully pinned"" so we omit any chat name.",,,,Nicole Johnson,⚠️ Need to notify,1,1,,6/3/2020 6:22pm,2020-06-04,7646
HOMEPAGE: Remove the box shadow from the takeaway tiles,UI Fix,Critical,40,Complete,,,2020-05-29,5/29/2020 10:55am,71,Screen Shot 2020-05-29 at 12.30.33 PM.png (https://dl.airtable.com/.attachments/efc7c9b30642cf0cd56d1b5376e8874c/37c968b5/ScreenShot2020-05-29at12.30.33PM.png),,,Specify box-shadow: none for the Takeaway Tiles in the Takeaway Tile landing page. ,,,,,⚠️ Need to notify,1,1,,6/3/2020 5:45pm,2020-06-04,7610
ESSENTIALS: Reflect: Change the slider action on the chat cards in the Pinned Chats section to Remove from Pinned,New Feature,Critical,42,Complete,,,2020-05-31,5/31/2020 3:34pm,69,,,,"We propose changing the slider action on the chat cards in the Pinned Chats section of Reflect to be ""Remove from Pinned."" 

We'd also like the slider to say ""Remove from Pinned""",,,,,⚠️ Need to notify,1,1,,6/3/2020 6:23pm,2020-06-04,4489
STATS: Satisfaction Stats settings chat functionality,New Feature,High,,Complete,,,2020-03-25,3/25/2020 10:44am,136,,,,"SETTINGS CHAT: https://docs.google.com/document/d/1_I7x-rIz0xyWF_cgAcvYUvEOhg3DeYXedIXNEzSTsVM/edit?usp=sharing

A key for the user's create date (day the user logs into the app for the first time or the day they create their account)
- See Settings Chat Statement 2 (page 3 of doc) for reference on use.

Use similar logic from attributeSpec Onboarding.advanceHow to evaluate whether to use the user's create date or last set date 
- If a Satisfaction at a Glance start date exists, then use it. 
- Else, use user created date",,,,,⚠️ Need to notify,1,1,,6/5/2020 12:50pm,2020-06-05,103805
"COMPLETION CARD BUG: When the Pitch Formula chat is completed, Why Talking Yourself Up Matters is the next recommended chat on the Completion Card. The next recommended chat should be Pitch Delivery.",Functional Bug,Critical,10,Complete,,,2020-04-03,4/3/2020 9:22am,127,,,"4.14.2020 This issue is replicating across Completion cards for various chats. If specifics are needed, I will add to this which chats I am encountering that have this issue. NJ","Updates from 6.1.2020
- The completion card logic loops between the first two chats of a series. 
    - Ex: in Job Offer Response Series
        - Are You in the Right Place recommends Your $1M Opportunity
        - Your $1M Opportunity recommends Are You in the Right Place upon completion of the chat
- When a user finishes a series, the Completion Card should recommend the first chat in the next series. 
- The next series to be recommended is defined in the NextSeries column of the Paths table. 

---------------------------------------------------------
Pitch Delivery should be the next recommended chat on the Completion Card once The Pitch Formula chat is completed. Right now, upon completion of The Pitch Formula, the next recommended chat is Why Talking Yourself Up Matters. 

This is true whether Pitch Delivery is not started or in progress.",,,,,⚠️ Need to notify,1,1,,6/4/2020 5:27pm,2020-06-05,89765
"HOMEPAGE: We propose the Career Plan automatically update when a Goal, Motivation, or Objective is edited from the Plan view",New Feature,Critical,40,Complete,,,2020-05-15,5/15/2020 2:24pm,85,,,,"When Goal, Objectives, and Motivation are clicked and updated from the Career Plan on homepage, the Career Plan doesn’t automatically update. We propose the Career Plan automatically update when a Goal, Motivation, or Objective is edited from the Plan View.",,,,,⚠️ Need to notify,1,1,,6/4/2020 5:30pm,2020-06-05,28986
CAREER SECTION: Changes to how Actions display on the View Recent History page.,New Feature,Critical,41,Complete,,,2020-05-19,5/18/2020 11:29pm,81,Screen Shot 2020-05-22 at 2.25.15 PM.png (https://dl.airtable.com/.attachments/4197273c484f8d0b282d9260bd341423/1747e0b2/ScreenShot2020-05-22at2.25.15PM.png),,"5.22.2020 The attached pic shows that PracticeAskAction and DeliverPitchAction still display on the cards in the View Recents section. 

----------------------------------------
Note that existing entry names won't change until you resave the entry. Also, I used the past tense description of the action (""I took the credit"") in the recent card instead of ""Take the Credit"" for now, because it seemed like less of a call to action",PracticePitchAction and DeliverPitchAction display on the cards in the View Recent History page.,,,,,⚠️ Need to notify,1,1,,6/4/2020 5:46pm,2020-06-05,24136
STATS: A message on the Stats cards for when a user first enters into the app rather than having all of the stats cards blank. ,New Feature,High,2,Complete,,,2020-05-20,5/20/2020 3:09pm,80,Screen Shot 2020-05-20 at 3.28.47 PM.png (https://dl.airtable.com/.attachments/239ec713d6710da067ca73c69b4180fa/6801f8b8/ScreenShot2020-05-20at3.28.47PM.png),,Works for Review Ready currently. Waiting to mark this as complete until all Stats cards are done because each stats card needs this messaging. ,"When the user first comes into the app, we propose each STATS card say:
""See your __________ STATS here. Tap the gear to get started""
- The blank is filled in by Review Ready, Satisfaction, Market Info, Pitch

Picture is attached for reference on font-sizes and font-color
- To start, try 18px font-size, bold font-weight, and chea raspberry pink (#A91B60) for font-color",,,,,⚠️ Need to notify,1,1,,6/5/2020 3:23pm,2020-06-05,23053
HOMEPAGE: adjust opacity of swiper-pagination-bullet,UI Fix,Critical,40,Complete,,,2020-05-27,5/26/2020 10:18pm,73,Screen Shot 2020-05-22 at 5.12.02 PM.png (https://dl.airtable.com/.attachments/2fdb77f42de3f182ab8a65f813a1a5ed/f8a52c2c/ScreenShot2020-05-22at5.12.02PM.png),,,Adjust opacity of the swiper-pagination-bullet to 1.,,,,,⚠️ Need to notify,1,1,,6/4/2020 5:32pm,2020-06-05,12673
ESSENTIALS: change the color of chat cards to light grey (the same color as the background grey),UI Fix,High,,Complete,,,2020-05-27,5/26/2020 10:18pm,73,Screen Shot 2020-05-26 at 5.46.19 PM.png (https://dl.airtable.com/.attachments/13fad32f82c400334ef4d3dd1fd1ff01/6fb861f6/ScreenShot2020-05-26at5.46.19PM.png),,,"1. change the color of chat cards to light grey (the same color as the background grey)
2. remove the border we used yesterday
3. center the chat cards on the page",,,,,⚠️ Need to notify,1,1,,6/4/2020 5:57pm,2020-06-05,12699
"HOMEPAGE: Change the share icon on the Inspiration Takeaway Tile to <ion-icon name=""share-outline""></ion-icon>",UI Fix,Critical,40,Complete,,,2020-05-29,5/29/2020 10:55am,71,Screen Shot 2020-05-29 at 11.46.54 AM.png (https://dl.airtable.com/.attachments/df4b61401a1432258ee13f937f95040b/c08ff3a5/ScreenShot2020-05-29at11.46.54AM.png),,,,,,,,⚠️ Need to notify,1,1,,6/4/2020 5:33pm,2020-06-05,9038
CAREER SECTION: Hide the sections of Career on the Career page that we are not including in beta 1. ,UI Fix,Critical,41,Complete,,,2020-05-29,5/29/2020 10:55am,71,Screen Shot 2020-05-29 at 11.55.42 AM.png (https://dl.airtable.com/.attachments/ec4ba1f78342f183ed0e6be2310c1fff/beacf257/ScreenShot2020-05-29at11.55.42AM.png),,,"Hide or remove the following sections from Career:
Challenges
Actions
Activity Review
Career Events
Work History
Education",,,,Nicole Johnson,⚠️ Need to notify,1,1,,6/4/2020 5:51pm,2020-06-05,9055
CAREER SECTION: Satisfaction section is hung in dev. See pic. ,Functional Bug,High,,Complete,,,2020-05-29,5/29/2020 10:55am,71,Screen Shot 2020-05-27 at 5.09.05 PM.png (https://dl.airtable.com/.attachments/ae9aa592f263881def835be8265c4371/8aab14f1/ScreenShot2020-05-27at5.09.05PM.png),,Was a metadata issue. Updated metadata and it stopped. Not sure why.,,,,,,⚠️ Need to notify,1,1,,6/4/2020 5:57pm,2020-06-05,9062
CAREER SECTION: We propose the View All button in the Recents slider only display after 2 or more cards are populated in Recents. ,New Feature,High,,Complete,,,2020-05-29,5/29/2020 10:55am,71,Screen Shot 2020-05-29 at 12.24.05 PM.png (https://dl.airtable.com/.attachments/54a069295d03c11c4403b1ed0671bcdb/8ce61ade/ScreenShot2020-05-29at12.24.05PM.png),,,"If it is a simple fix to make it so the View All button only displays after 2 or more cards are in the Recents, then we'd like to.",,,,,⚠️ Need to notify,1,1,,6/4/2020 6:01pm,2020-06-05,9065
